content,day,person
Paco,16/11/2,Paco
Ven,16/11/2,Paco
Te,16/11/2,Paco
Directo,16/11/2,Paco
A la plaza,16/11/2,Paco
Donde vienes,16/11/2,Paco
Porcierto,16/11/2,Paco
Pero si prende?,16/11/2,Paco
Noooo bueno fue la mejor decisión,16/11/2,Paco
Esperemos prenda,16/11/2,Paco
Yeiii,16/11/2,Paco
El video xd,16/11/2,Paco
<Multimedia omitido>,16/11/2,Paco
Como así otra vez,16/11/2,Paco
Igual que en la escuela,16/11/2,Paco
A,16/11/2,Paco
What,16/11/2,Paco
<Multimedia omitido>,16/11/2,Paco
El cargador no sirve el cargador no es original,16/11/2,Paco
O simplemente se Madrio el cargador,16/11/2,Paco
pues puede ser la batería eh porque de eso fallan las hp,16/11/2,Paco
la neta,16/11/2,Paco
y mas porque esas baterías son internas es mas difícil consegirlas,16/11/2,Paco
chi,16/11/2,Paco
nah te ayudo,16/11/2,Paco
o bueno como gustes jsjsj,16/11/2,Paco
nomas hay que diagnosticarla,16/11/2,Paco
bien,16/11/2,Paco
jsjs espero prenda,16/11/2,Paco
Volvió a valer?,17/11/2,Paco
Que venía pa,17/11/2,Paco
En el examen,17/11/2,Paco
Neta osea ojete ojete y teoría?,17/11/2,Paco
Y sabes como era la otra versión?,17/11/2,Paco
Deja le pregunto,17/11/2,Paco
Gracias guapo,17/11/2,Paco
jaja que binita es tu maestra,17/11/2,Paco
no se acabando botello,17/11/2,Paco
el examen,17/11/2,Paco
ustedes donde están?,17/11/2,Paco
la neta,17/11/2,Paco
a la en cuanto vuelves a la escuela?,17/11/2,Paco
vale jsjs entonces te veo en un rato y en que nos vamos a ir ala casa del sevas,17/11/2,Paco
?,17/11/2,Paco
Na estoy esperando que se llene el agua,17/11/2,Paco
Pa bajarle,17/11/2,Paco
Jaja,17/11/2,Paco
Esque no se llena la madre,17/11/2,Paco
Dile al sebas que que pex que cuanto tarda el agua,17/11/2,Paco
Xd,17/11/2,Paco
<Multimedia omitido>,17/11/2,Paco
Ya llegue,17/11/2,Paco
Noo,17/11/2,Paco
Pero pco,17/11/2,Paco
Deje mi chamarra,17/11/2,Paco
Ahí en la silla,17/11/2,Paco
Es momento jaja,20/11/2,Paco
Ya vienen paco,21/11/2,Paco
Jaja chi pero quiero voli,21/11/2,Paco
Pero vale,21/11/2,Paco
Paco,21/11/2,Paco
Cual es el casiller9 de rafa,21/11/2,Paco
Vale esque vamos a sacar las cosas,21/11/2,Paco
Vale,21/11/2,Paco
Por donde vienes,21/11/2,Paco
Paco ya donde estas,21/11/2,Paco
Bro,22/11/2,Paco
Tu tablet es la huawei de 11.5?,22/11/2,Paco
<Multimedia omitido>,22/11/2,Paco
Pero es casi lo mismo no?,22/11/2,Paco
A si de 11,22/11/2,Paco
Xd,22/11/2,Paco
Que tal esta,22/11/2,Paco
En juegos,22/11/2,Paco
Crees que jale para mi sobrina,22/11/2,Paco
Podrías probar algunos juegos,22/11/2,Paco
Porfis,22/11/2,Paco
<Multimedia omitido>,22/11/2,Paco
Okey sabes si en la tienda esta roblox,22/11/2,Paco
O me puedes mandar foto de la sección de jugos,22/11/2,Paco
<Multimedia omitido>,22/11/2,Paco
Chi porfis,22/11/2,Paco
Va va gracias,22/11/2,Paco
Cuando vengas por las llaves me avisas,24/11/2,Paco
Estoy en mi salón,24/11/2,Paco
A las 8 pa,24/11/2,Paco
Ya esta mi socia aquí?,24/11/2,Paco
Paco,24/11/2,Paco
Jsjs,24/11/2,Paco
Estas ahi,24/11/2,Paco
Vale,24/11/2,Paco
Hasta las 8 o las 6 guapo?,24/11/2,Paco
Oki,24/11/2,Paco
Collelle collelle,24/11/2,Paco
Oki,24/11/2,Paco
Jsjs,24/11/2,Paco
Más vien suena que me fuiste infiel jaja,24/11/2,Paco
<Multimedia omitido>,24/11/2,Paco
<Multimedia omitido>,24/11/2,Paco
<Video note omitted>,24/11/2,Paco
Sip,4/12/20,Paco
Nadamas no es nada indebido verdad jaja,4/12/20,Paco
No se,4/12/20,Paco
Jaja vale,4/12/20,Paco
Esque en Amazon venden de todo jaja,4/12/20,Paco
Jaja xd,4/12/20,Paco
Oki,4/12/20,Paco
Nooo pregúntale a manu,5/12/20,Paco
Paco llego lo tuyo bueno solo uno,6/12/20,Paco
Te lo llevo sin el empaque de Amazon si?,6/12/20,Paco
Chi,6/12/20,Paco
No se que es cordova,7/12/20,Paco
Deja checo y te aviso,7/12/20,Paco
Ontas,7/12/20,Paco
Poquito,7/12/20,Paco
Bb,7/12/20,Paco
Jsjs vale,7/12/20,Paco
Voy a tu salón,7/12/20,Paco
Chi,7/12/20,Paco
Voy,7/12/20,Paco
<Multimedia omitido>,11/12/2,Paco
<?php ,11/12/2,Paco
Me saco pa ya no pude ver chismesio,11/12/2,Paco
<Multimedia omitido>,11/12/2,Paco
Cuenta chisme,11/12/2,Paco
F xd apoco si habra,11/12/2,Paco
Xz,11/12/2,Paco
Ño,12/12/2,Paco
Capturas de las cosas que pide,19/12/2,Paco
Tienes todos los códigos de metodos,21/12/2,Paco
Olos necesitas,21/12/2,Paco
Ontas,22/12/2,Paco
Yo jalo ya me convence solo con lo de otro mundo,6/1/202,Paco
Jaja,6/1/202,Paco
No tanto hay un tt que lo hace jaja,8/1/202,Paco
Pero hablas del hardwere y todo?,8/1/202,Paco
Osea generar el qr y que desde la app del celular mande el registro si no hay tanto pedo,8/1/202,Paco
Pero seria una sección de empleados o que pedo?,8/1/202,Paco
Aaa,8/1/202,Paco
Osea,8/1/202,Paco
Aparte,8/1/202,Paco
Pues podemos hacerlo,8/1/202,Paco
Y que pex que te dijo?,8/1/202,Paco
Va jsjs,8/1/202,Paco
Ontas,10/1/20,Paco
Paco me mandas fotos del depa,11/1/20,Paco
De 4500,11/1/20,Paco
Y dice mi papa que les digas que como lo pueden asegurar,11/1/20,Paco
Si,11/1/20,Paco
Que le des las ofertas,11/1/20,Paco
Del adelanto y si es necesario hasta mas,11/1/20,Paco
porque dice mi papa que ahi se van rapido,11/1/20,Paco
y que suelen ofertar mucho,11/1/20,Paco
Nooo,11/1/20,Paco
Osea,11/1/20,Paco
Que más oferta de renta se van rápido porque muchos los quieren,11/1/20,Paco
No que la gente se valla rápido,11/1/20,Paco
Siii,11/1/20,Paco
Eliminaste este mensaje.,14/1/20,Paco
